Title,Address,Price,Size,bedrooms,bathrooms,ContactName,ContactPhone
Apartments Fortuna View…,"Zell Am See, Austria","€849,990 -​ €1,124,990",,,Johnny Cartwright,+43 664 877 8769+43 664 877 8769
Lech Am Arlberg…,,"€7,000,000",8Bedrooms,5Bathrooms,Jeremy Rollason,+44 (0) 20 7016 3753+44 (0) 20 7016 3753
Luxurious Loft-Style Apartment…,"1687, Kitzbuhel, Tyrol, 6370","€3,100,000",,,Maddy Silvester,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
Ellmau…,"Tyrol, 6352","€727,500 -​ €1,754,000",2Bedrooms,1Bathrooms,Maddy Silvester,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
"Tyrol, Ardrostig…","Waterfall, Co Cork, T12 W99E","€375,000",5Bedrooms,2Bathrooms,Karl O'Reilly,+353 (2) 1 427 1371+353 (2) 1 427 1371
27-29 Nikolaus-Gassner-Straße…,"5710, Kaprun","€699,950",3Bedrooms,2Bathrooms,Maddy Silvester,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
Lake Penthouse…,Zell Am See,"€1,590,000",3Bedrooms,,Jeremy Rollason,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
Oberlech 641…,6764 Lech Am Arlberg,"€7,800,000",4Bedrooms,,Maddy Silvester,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
Aureus Prime Resort…,"Fugen, Tirol, Austria, 6263","€224,000 -​ €497,000",1Bedrooms,1Bathrooms,Maddy Silvester,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
Mosern…,Tirol,"€285,000 -​ €1,250,000",1Bedrooms,,Jeremy Rollason,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
Apartments…,"St. Johann In Tirol, Tyrol, 6380","€768,300 -​ €1,578,720",2Bedrooms,1Bathrooms,Maddy Silvester,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
Triple A Chalets…,"Seefeld, Tirol","€1,555,000",4Bedrooms,,Maddy Silvester,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
New Construction With Mountain View…,"St Johann In Tirol, Tyrol, 6380","€664,800 -​ €1,489,795",2Bedrooms,1Bathrooms,Maddy Silvester,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
Residence Post…,"Mayrhofen, Austria","€3,100,000",3Bedrooms,2Bathrooms,Johnny Cartwright,+43 664 877 8769+43 664 877 8769
The Dream Valley…,"Reith Bei Kitzbuhel, 6370","€4,950,000",,,Guy Murdoch,+44 (0) 20 7016 3740+44 (0) 20 7016 3740
