Title,Address,Price,Size,bedrooms,bathrooms,ContactName,ContactPhone
"Millburn House & Farm, Ardour…","Kilconly, Tuam, Co Galway, H54 TN23","€1,300,000",4Bedrooms,4Bathrooms,James Butler,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
"Silver Granite, 15 Belmont Gardens…","Donnybrook, Dublin 4, D04 R9C2","€1,550,000",3Bedrooms,,Gavin Kennedy,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
28 Bishops Gate…,"Kilternan, Co Dublin, D18 E8N3","€625,000",3Bedrooms,4Bathrooms,Gavin Kennedy,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
"Emalian, Tivoli Estate…","Tivoli, Cork, T23 D6EX","€925,000",7Bedrooms,6Bathrooms,Michael O'Donovan,+353 (2) 1 427 1371+353 (2) 1 427 1371
"Creevagh Heights, Creevagh…","Ballina, Co.Mayo, F26 W7K8","€650,000",6Bedrooms,5Bathrooms,Cianan Duff,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
"Aeolus, Cartron…","Strandhill, Co. Sligo, F91 C9Y3","€850,000",4Bedrooms,3Bathrooms,Cianan Duff,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
4 Hollyhill Lane…,"Blarney Street, Cork, T23 KNN4","€285,000",3Bedrooms,2Bathrooms,Kate Buttimer,+353 (2) 1 427 1371+353 (2) 1 427 1371
"Manderlay, Crosstown…","Wexford Town, Co Wexford, Y35 EK5H","€975,000",7Bedrooms,6Bathrooms,Cianan Duff,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
21 Maple Woods…,"Ballinacurra, Midleton, Co Cork, P25 WK29","€335,000",4Bedrooms,3Bathrooms,Lawrence Sweeney,+353 (0) 21 490 6343+353 (0) 21 490 6343
"Hoardstown, Lobinstown…","Navan, Co Meath, C15 H1F7","€495,000",5Bedrooms,4Bathrooms,Cianan Duff,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
"Pau Hana, Courtaparteen…","Kinsale, Co Cork, P17AK71","€1,650,000",4Bedrooms,5Bathrooms,Michael O'Donovan,+353 (2) 1 427 1371+353 (2) 1 427 1371
"Rath More Green, Barrack Green…","Kinsale, Co. Cork","€430,000 -​ €565,000",3Bedrooms,,Elizabeth Hegarty,+353 (2) 1 427 1371+353 (2) 1 427 1371
"White Walls, Sea Road…","Ballymoney, Co. Wexford, Y25 D535","€950,000",4Bedrooms,3Bathrooms,Liam McCarthy,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
"2 Ballyowen, Wellingtonbridge…","Co Wexford, Y35X E24","€400,000",4Bedrooms,,Gavin Kennedy,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
"West Lodge, Knockeen…","Butlerstown, Co Waterford, X91 P9HW","€650,000",5Bedrooms,2Bathrooms,Cianan Duff,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
Holderness…,"Rochestown Road, Cork, T12 ENY5","€995,000",5Bedrooms,3Bathrooms,Michael O'Donovan,+353 (0) 21 427 1371+353 (0) 21 427 1371
Title,Address,Price,Size,bedrooms,bathrooms,ContactName,ContactPhone
2 Ballynaroon…,"Glounthaune, Co Cork, T45 PW97","€575,000",5Bedrooms,2Bathrooms,Karl O'Reilly,+353 (2) 1 427 1371+353 (2) 1 427 1371
"An Clasach, Goggins Hill…","Ballinhassig, Co Cork, T12 XY5P","€595,000",5Bedrooms,3Bathrooms,Michael O'Donovan,+353 (2) 1 427 1371+353 (2) 1 427 1371
8 Birchley…,"Model Farm Road, Carrigrohane, Cork City, T12 PWV8","€1,275,000",5Bedrooms,3Bathrooms,Lawrence Sweeney,+353 (2) 1 427 1371+353 (2) 1 427 1371
"Land At Lisdornan, Lisdornan…","Julianstown, Co Meath","€150,000",,,Cianan Duff,+ 353 (0) 1 618 1300+ 353 (0) 1 618 1300
