Title,Address,Price,Size,bedrooms,bathrooms,ContactName,ContactPhone
"Sant Andreu de Llavaneres, Maresme Coast…","Barcelona, Spain","€1,630,000",5Bedrooms,5Bathrooms,Lluís Barrera,+34 935 007 658+34 935 007 658
Cullera…,"Valencia, Spain","€685,000",5Bedrooms,3Bathrooms,Estefania Roig,+34 960 077 790+34 960 077 790
…,"Sevilla, Spain","€685,000",6Bedrooms,3Bathrooms,,+34 955 14 71 51+34 955 14 71 51
"Sant Cugat centre, Sant Cugat…","Barcelona, Spain","€1,390,000",6Bedrooms,5Bathrooms,,+34 930 23 58 07+34 930 23 58 07
Pozuelo…,"Madrid, Spain","€2,990,000",7Bedrooms,8Bathrooms,Barend Hart,+34 699 095 185+34 699 095 185
San Antonio…,"Ibiza, Spain","€4,800,000",6Bedrooms,7Bathrooms,Remi Gaich,+34 971 590 630+34 971 590 630
Alicante ciudad…,"Alicante, Spain","€690,000",4Bedrooms,3Bathrooms,Valentina Sileike,+34 966 048 356+34 966 048 356
"El Pla del Remei, Valencia City…","Valencia, Spain","€735,000",4Bedrooms,2Bathrooms,Estefania Roig,+34 960 077 790+34 960 077 790
…,"Sevilla, Spain","€950,000",4Bedrooms,3Bathrooms,,+34 955 14 71 51+34 955 14 71 51
…,"Sevilla, Spain","€970,000",5Bedrooms,4Bathrooms,,+34 955 14 71 51+34 955 14 71 51
"Valldoreix, Sant Cugat…","Barcelona, Spain","€898,000",4Bedrooms,2Bathrooms,,+34 930 23 58 07+34 930 23 58 07
Las Rozas…,"Madrid, Spain","€890,000",3Bedrooms,3Bathrooms,,+34 912 624 578+34 912 624 578
"Cabrils, Maresme Coast…","Barcelona, Spain","€750,000",4Bedrooms,3Bathrooms,Tom Maidment,+34 935 952 490+34 935 952 490
"Estepona town, Estepona…","Costa del Sol, Spain","€2,395,000",5Bedrooms,4Bathrooms,Arjen Spittael,+34 637 996 636+34 637 996 636
"Barri Vell, Girona City…","Girona, Spain","€595,000",3Bedrooms,2Bathrooms,Tom Maidment,+34 872 22 32 62+34 872 22 32 62
Pla de l'Estany…,"Girona, Spain","€1,290,000",10Bedrooms,,Tom Maidment,+34 872 22 32 62+34 872 22 32 62
Title,Address,Price,Size,bedrooms,bathrooms,ContactName,ContactPhone
"Eixample Left, Barcelona City…","Barcelona, Spain","€1,090,000",4Bedrooms,2Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
"Eixample Right, Barcelona City…","Barcelona, Spain","€730,000",3Bedrooms,2Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
"Eixample Right, Barcelona City…","Barcelona, Spain","€1,090,000",5Bedrooms,2Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
Torredembarra…,"Costa Dorada, Spain","€585,000",5Bedrooms,3Bathrooms,Raúl Anguera,+34 977 13 98 98+34 977 13 98 98
Cambrils…,"Costa Dorada, Spain","€815,000",4Bedrooms,3Bathrooms,Raúl Anguera,+34 977 13 98 98+34 977 13 98 98
…,"Sevilla, Spain","€695,000",4Bedrooms,3Bathrooms,,+34 955 14 71 51+34 955 14 71 51
Aravaca…,"Madrid, Spain","€1,660,000",7Bedrooms,7Bathrooms,Barend Hart,+34 699 095 185+34 699 095 185
"Trafalgar, Chamberí, Madrid City…","Madrid, Spain","€1,049,000",3Bedrooms,4Bathrooms,Esther Gladen,+34 912 900 182+34 912 900 182
"Montemar, Castelldefels…","Barcelona, Spain","€2,100,000",5Bedrooms,4Bathrooms,Anastasiya Krauchanka,+34 930 022 023+34 930 022 023
"El Born, Barcelona City…","Barcelona, Spain","€1,100,000",3Bedrooms,2Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
"El Pla del Remei, Valencia City…","Valencia, Spain","€1,100,000",4Bedrooms,2Bathrooms,Estefania Roig,+34 960 077 790+34 960 077 790
"Sitges Town / Sant Sebastian / Aiguadolç, Sitges…","Barcelona, Spain","€875,000",4Bedrooms,4Bathrooms,Rachel Haslam,+34 935 952 550+34 935 952 550
Las Rozas…,"Madrid, Spain","€850,000",5Bedrooms,4Bathrooms,,+34 912 624 578+34 912 624 578
Pozuelo…,"Madrid, Spain","€2,590,000",5Bedrooms,5Bathrooms,Barend Hart,+34 699 095 185+34 699 095 185
Calonge…,"Costa Brava, Spain","€3,400,000",4Bedrooms,3Bathrooms,Robin Veerman,+34 872 025 008+34 872 025 008
"Teià, Maresme Coast…","Barcelona, Spain","€910,000",4Bedrooms,4Bathrooms,Tom Maidment,+34 935 952 490+34 935 952 490
Title,Address,Price,Size,bedrooms,bathrooms,ContactName,ContactPhone
"Sierra Blanca, Marbella…","Costa del Sol, Spain","€1,200,000",2Bedrooms,3Bathrooms,Arjen Spittael,+34 637 996 636+34 637 996 636
"Atalaya, Estepona…","Costa del Sol, Spain","€999,000",3Bedrooms,2Bathrooms,Arjen Spittael,+34 637 996 636+34 637 996 636
"Benahavís, Benahavís inland…","Costa del Sol, Spain","€575,000",3Bedrooms,2Bathrooms,Arjen Spittael,+34 637 996 636+34 637 996 636
"Benahavís, Benahavís inland…","Costa del Sol, Spain","€556,000",3Bedrooms,2Bathrooms,Arjen Spittael,+34 637 996 636+34 637 996 636
East Málaga…,"Málaga, Spain","€795,000",3Bedrooms,4Bathrooms,Rodolfo Nuñez,+34 952 643 015+34 952 643 015
"Sant Andreu de Llavaneres, Maresme Coast…","Barcelona, Spain","€12,900,000",6Bedrooms,7Bathrooms,Lluís Barrera,+34 935 007 658+34 935 007 658
Jávea…,"Costa Blanca, Spain","€2,750,000",10Bedrooms,9Bathrooms,Emma Price,+34 965 79 33 63+34 965 79 33 63
"Gótico, Barcelona City…","Barcelona, Spain","€524,000",2Bedrooms,2Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
"El Putxet, Barcelona City…","Barcelona, Spain","€679,000",4Bedrooms,2Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
"Eixample Right, Barcelona City…","Barcelona, Spain","€620,000",4Bedrooms,2Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
Finestrat / Sierra Cortina…,"Costa Blanca, Spain","€1,300,000",3Bedrooms,2Bathrooms,José Coronel,+34 965 208 331+34 965 208 331
Zone F…,"Sotogrande Alto, Sotogrande, 11310","€1,590,000",6Bedrooms,4Bathrooms,Tom Vickery,+44 (0) 207 016 3744+44 (0) 207 016 3744
Pontevedra…,"Galicia, Spain","€590,000",4Bedrooms,3Bathrooms,Rafael Rosendo,+34 886 908 295+34 886 908 295
"Ruzafa, Valencia City…","Valencia, Spain","€599,000",3Bedrooms,2Bathrooms,Estefania Roig,+34 960 077 790+34 960 077 790
"Sitges Town / Sant Sebastian / Aiguadolç, Sitges…","Barcelona, Spain","€1,150,000",2Bedrooms,2Bathrooms,Rachel Haslam,+34 935 952 550+34 935 952 550
Calonge…,"Costa Brava, Spain","€749,000",3Bedrooms,3Bathrooms,Robin Veerman,+34 872 025 008+34 872 025 008
Title,Address,Price,Size,bedrooms,bathrooms,ContactName,ContactPhone
Calonge…,"Costa Brava, Spain","€950,000",5Bedrooms,4Bathrooms,Robin Veerman,+34 872 025 008+34 872 025 008
East Málaga…,"Málaga, Spain","€1,090,000",3Bedrooms,2Bathrooms,Rodolfo Nuñez,+34 952 643 015+34 952 643 015
Mijas…,"Costa del Sol, Spain","€1,000,000",3Bedrooms,2Bathrooms,Rodolfo Nuñez,+34 952 643 015+34 952 643 015
"Gótico, Barcelona City…","Barcelona, Spain","€695,000",5Bedrooms,2Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
"Eixample Right, Barcelona City…","Barcelona, Spain","€2,950,000",7Bedrooms,4Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
"Eixample Left, Barcelona City…","Barcelona, Spain","€900,000",3Bedrooms,2Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
"Eixample Right, Barcelona City…","Barcelona, Spain","€920,000",2Bedrooms,2Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
"El Clot, Barcelona City…","Barcelona, Spain","€640,000",3Bedrooms,3Bathrooms,Cristina Rosello,+34 933 562 989+34 933 562 989
Finestrat / Sierra Cortina…,"Costa Blanca, Spain","€1,250,000",3Bedrooms,2Bathrooms,José Coronel,+34 965 208 331+34 965 208 331
"Altea Town, Altea…","Costa Blanca, Spain","€1,972,000",4Bedrooms,6Bathrooms,José Coronel,+34 965 208 331+34 965 208 331
"Luxury Townhouse, Estepona Marina,…",Marbella,"€3,300,000",6Bedrooms,4Bathrooms,Ira Brankovic,+34 637 996 636+34 637 996 636
…,"Sevilla, Spain","€600,000",3Bedrooms,2Bathrooms,,+34 955 14 71 51+34 955 14 71 51
"Mirasol, Sant Cugat…","Barcelona, Spain","€1,450,000",5Bedrooms,4Bathrooms,,+34 930 23 58 07+34 930 23 58 07
"Sant Cugat centre, Sant Cugat…","Barcelona, Spain","€1,125,000",4Bedrooms,3Bathrooms,,+34 930 23 58 07+34 930 23 58 07
La Moraleja…,"Madrid, Spain","€9,500,000",6Bedrooms,5Bathrooms,,+34 912 624 578+34 912 624 578
Title,Address,Price,Size,bedrooms,bathrooms,ContactName,ContactPhone
"Cabrera de Mar, Maresme Coast…","Barcelona, Spain","€1,590,000",6Bedrooms,6Bathrooms,Tom Maidment,+34 935 952 490+34 935 952 490
"San Pedro de Alcántara, Marbella…","Costa del Sol, Spain","€1,900,000",4Bedrooms,4Bathrooms,Arjen Spittael,+34 637 996 636+34 637 996 636
"Nueva Andalucía, Marbella…","Costa del Sol, Spain","€799,000",3Bedrooms,2Bathrooms,Arjen Spittael,+34 637 996 636+34 637 996 636
Axarquia…,"Málaga, Spain","€1,200,000",5Bedrooms,5Bathrooms,Rodolfo Nuñez,+34 952 643 015+34 952 643 015
"Ríos Rosas, Chamberí, Madrid City…","Madrid, Spain","€990,000",3Bedrooms,2Bathrooms,Esther Gladen,+34 912 900 182+34 912 900 182
Jávea…,"Costa Blanca, Spain","€1,280,000",5Bedrooms,4Bathrooms,Emma Price,+34 965 79 33 63+34 965 79 33 63
